,Timestamp,Money
479,2017-11-27,800303.1444036942
480,2017-11-28,778196.4633193193
481,2017-11-29,769048.8542064889
482,2017-11-30,740081.4959324659
483,2017-01-12,739882.6453680377
484,2017-04-12,743826.0353846031
485,2017-05-12,737253.722673526
486,2017-06-12,734923.5517859852
487,2017-07-12,736451.7332559479
488,2017-08-12,728938.5983429665
489,2017-11-12,725659.0218199478
490,2017-12-12,718086.1989398182
491,2017-12-13,712958.1558393752
492,2017-12-14,717311.0007211261
493,2017-12-15,713256.315421924
494,2017-12-18,704073.5929851129
495,2017-12-19,706399.0922358462
496,2017-12-20,708366.7498997157
497,2017-12-21,704848.6957984625
498,2017-12-22,706399.0922358462
499,2017-12-26,707293.4815409835
500,2017-12-27,705922.0535997029
501,2017-12-28,702046.1579115866
502,2017-12-29,706518.2833222917
503,2018-02-01,702702.0756013242
504,2018-03-01,697156.6818318865
505,2018-04-01,687317.9522628302
506,2018-05-01,674676.7742494056
507,2018-08-01,675451.9724680975
508,2018-09-01,668117.6212033681
509,2018-10-01,669310.2595335629
510,2018-11-01,657444.1843334881
511,2018-12-01,643729.6485188236
512,2018-01-16,644325.9676839211
513,2018-01-17,624827.5664844187
514,2018-01-18,630313.2722867078
515,2018-01-19,628047.3655977808
516,2018-01-22,619460.8728835592
517,2018-01-23,620116.8800158047
518,2018-01-24,615942.8247451403
519,2018-01-25,608906.7225054675
520,2018-01-26,596026.9774713004
521,2018-01-29,606461.9367629464
522,2018-01-30,627570.4223669802
523,2018-01-31,622680.8568447721
524,2018-01-02,621607.5884860398
525,2018-02-02,661498.9590751987
526,2018-05-02,731025.5365357904
527,2018-06-02,697096.9938647384
528,2018-07-02,698289.632194933
529,2018-08-02,758454.6081651198
530,2018-09-02,738419.4803623261
531,2018-12-02,713733.3540580671
532,2018-02-13,711348.1668401859
533,2018-02-14,695069.6541965541
534,2018-02-15,675988.6036660464
535,2018-02-16,679208.4922219173
536,2018-02-20,694771.4946140053
537,2018-02-21,704490.9436541076
538,2018-02-22,693936.7038335076
539,2018-02-23,670656.0703924045
540,2018-02-26,692531.6702633179
541,2018-02-27,676384.0988061209
542,2018-02-28,655872.3058723309
543,2018-01-03,632851.1472338203
544,2018-02-03,629414.3945575354
545,2018-05-03,648453.161002571
546,2018-06-03,648453.161002571
547,2018-07-03,644470.8560930884
548,2018-08-03,650089.7522391672
549,2018-09-03,674201.9498810777
550,2018-12-03,665473.5996671347
551,2018-03-13,655981.4326847191
552,2018-03-14,643216.1705131035
553,2018-03-15,649326.0227546878
554,2018-03-16,649871.5804431345
555,2018-03-19,632469.3234059522
556,2018-03-20,638961.0813041483
557,2018-03-21,636342.5015030461
558,2018-03-22,596737.4223600235
559,2018-03-23,573661.7385020657
560,2018-03-26,610157.369032474
561,2018-03-27,590900.2616786691
562,2018-03-28,590845.7419144716
563,2018-03-29,607866.0932950424
564,2018-02-04,579226.0330552033
565,2018-03-04,601047.031333176
566,2018-04-04,613648.7287569495
567,2018-05-04,627014.0738364591
568,2018-06-04,595482.7367800383
569,2018-09-04,598755.837424488
570,2018-10-04,622104.3001266692
571,2018-11-04,610484.6730961446
572,2018-12-04,626468.5161480124
573,2018-04-13,619758.5809985341
574,2018-04-16,630887.251933553
575,2018-04-17,642779.7396370447
576,2018-04-18,640488.5457283568
577,2018-04-19,636069.8044875665
578,2018-04-20,624668.2728795805
579,2018-04-23,623959.1449880421
580,2018-04-24,600719.7272695056
581,2018-04-25,604047.4349621462
582,2018-04-26,617249.1280098201
583,2018-04-27,616321.7464935055
584,2018-04-30,608629.8227795218
585,2018-01-05,604374.7390258166
586,2018-02-05,595373.6099676501
587,2018-03-05,595319.0847482029
588,2018-04-05,613976.0273653704
589,2018-07-05,618885.7192464168
590,2018-08-05,618885.7192464168
591,2018-09-05,629687.0915730151
592,2018-10-05,640924.9766044153
593,2018-11-05,646816.5697659741
594,2018-05-14,650798.9619594493
595,2018-05-15,640106.6400717453
596,2018-05-16,643707.1211533593
597,2018-05-17,642452.4355733742
598,2018-05-18,638415.5236157018
599,2018-05-21,654453.9682605104
600,2018-05-22,644852.6799209565
601,2018-05-23,647307.6076902233
602,2018-05-24,643379.8225449384
603,2018-05-25,640433.9386801659
604,2018-05-29,619049.3712782522
605,2018-05-30,636778.9323791049
606,2018-05-31,623031.6816429838
607,2018-01-06,634924.1693464755
608,2018-04-06,644961.8067333447
609,2018-05-06,644689.0278891211
610,2018-06-06,663073.2734908089
611,2018-07-06,668583.0482797492
612,2018-08-06,672619.9602374218
613,2018-11-06,673274.562909513
614,2018-12-06,672783.6122692572
615,2018-06-13,666673.6781989294
616,2018-06-14,665637.2462437202
617,2018-06-15,658818.1842818537
618,2018-06-18,653308.3331194196
619,2018-06-19,637760.9209436104
620,2018-06-20,635469.7270349222
621,2018-06-21,624777.3996919687
622,2018-06-22,631269.1575901646
623,2018-06-25,612830.3922242795
624,2018-06-26,614794.2820692968
625,2018-06-27,606338.6288708337
626,2018-06-28,611575.7066442943
627,2018-06-29,615121.5861329674
628,2018-02-07,615121.5861329674
629,2018-03-07,609284.5127356064
630,2018-05-07,619594.9289666989
631,2018-06-07,625322.9573804154
632,2018-09-07,642997.9114330774
633,2018-10-07,650580.708334673
634,2018-11-07,638851.9544917601
635,2018-12-07,650962.6139912845
636,2018-07-13,655872.3058723309
637,2018-07-16,658436.2786252422
638,2018-07-17,661763.986317883
639,2018-07-18,665855.4234950026
640,2018-07-19,659090.8812973336
641,2018-07-20,657181.5930452568
642,2018-07-23,656199.6099360015
643,2018-07-24,666837.4120595078
644,2018-07-25,676711.3974145418
645,2018-07-26,682712.122843738
646,2018-07-27,678020.6082139742
647,2018-07-30,670437.8113123784
648,2018-07-31,677529.6521184682
649,2018-01-08,671747.1039405544
650,2018-02-08,671692.5787211072
651,2018-03-08,678729.8124790064
652,2018-06-08,681239.2654677203
653,2018-07-08,688167.3724132313
654,2018-08-08,685439.7476284846
655,2018-09-08,682930.381923764
